aggregation_level,weighting,pair,seed,task,n_pairs,n_seeds,n_tasks,n_unique_samples,n_repeated_observations,bootstrap_samples,bootstrap_confidence,bootstrap_level,receiver_correct_fused_correct_rate,receiver_correct_fused_correct_rate_ci_low,receiver_correct_fused_correct_rate_ci_high,beneficial_transfer_rate,beneficial_transfer_rate_ci_low,beneficial_transfer_rate_ci_high,harmful_transfer_rate,harmful_transfer_rate_ci_low,harmful_transfer_rate_ci_high,receiver_wrong_fused_wrong_rate,receiver_wrong_fused_wrong_rate_ci_low,receiver_wrong_fused_wrong_rate_ci_high,receiver_accuracy,receiver_accuracy_ci_low,receiver_accuracy_ci_high,fused_accuracy,fused_accuracy_ci_low,fused_accuracy_ci_high,oracle_accuracy,oracle_accuracy_ci_low,oracle_accuracy_ci_high,best_fixed_accuracy,best_fixed_accuracy_ci_low,best_fixed_accuracy_ci_high,oracle_headroom_over_fused,oracle_headroom_over_fused_ci_low,oracle_headroom_over_fused_ci_high,oracle_headroom_over_receiver,oracle_headroom_over_receiver_ci_low,oracle_headroom_over_receiver_ci_high,oracle_headroom_over_best_fixed,oracle_headroom_over_best_fixed_ci_low,oracle_headroom_over_best_fixed_ci_high,fused_minus_receiver,fused_minus_receiver_ci_low,fused_minus_receiver_ci_high,mean_transfer_utility,mean_transfer_utility_ci_low,mean_transfer_utility_ci_high,best_fixed_policy
pair_seed,task_macro,qwen3_1p7b,42,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.3225971066114316,0.3056600771742357,0.3399764018480519,0.22642752977918873,0.21109357634183798,0.24164638455482856,0.06008649192767819,0.05204465587776014,0.06876276665763288,0.3908888716817014,0.37327663866196903,0.4086100145830913,0.38268359853910977,0.3650818156594009,0.400748847548621,0.5490246363906204,0.5309498703008246,0.5666868945758643,0.6091111283182986,0.5913899854169086,0.6267233613380309,0.5490246363906204,0.5309498703008246,0.5666868945758643,0.06008649192767823,0.05204465587776017,0.06876276665763291,0.22642752977918884,0.21109357634183792,0.24164638455482856,0.06008649192767823,0.05204465587776017,0.06876276665763291,0.1663410378515106,0.14762592628440896,0.18454895595390186,0.16634103785151055,0.147625926284409,0.18454895595390194,fused
pair_seed,sample_weighted,qwen3_1p7b,42,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.2973158981417756,0.2869924294562973,0.30777701307639366,0.20880935994494149,0.19944941500344116,0.21803165863730212,0.06428079834824502,0.058637302133516866,0.06992429456297315,0.42959394356503783,0.41830695113558153,0.4410185822436338,0.36159669649002063,0.3505849965588438,0.37274604267033723,0.506125258086717,0.49442532690984164,0.5174122505161735,0.570406056434962,0.5589814177563661,0.5816930488644184,0.506125258086717,0.49442532690984164,0.5174122505161735,0.06428079834824496,0.05863730213351681,0.06992429456297311,0.20880935994494138,0.19944941500344116,0.21803165863730206,0.06428079834824496,0.05863730213351681,0.06992429456297311,0.14452856159669641,0.13296627666896071,0.15609084652443223,0.14452856159669647,0.13296627666896077,0.15609084652443223,fused
pair_seed_task,single_task,qwen3_1p7b,43,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.3278260869565217,0.3008695652173913,0.3556521739130435,0.27304347826086955,0.24695652173913044,0.2991304347826087,0.07391304347826087,0.059130434782608696,0.08956521739130435,0.32521739130434785,0.2982608695652174,0.35130434782608694,0.4017391304347826,0.3739130434782609,0.4304347826086956,0.6008695652173912,0.5730434782608695,0.6295652173913043,0.6747826086956521,0.648695652173913,0.7017391304347826,0.6008695652173912,0.5730434782608695,0.6295652173913043,0.07391304347826089,0.05913043478260871,0.08956521739130441,0.2730434782608695,0.2469565217391304,0.2991304347826087,0.07391304347826089,0.05913043478260871,0.08956521739130441,0.1991304347826086,0.1669565217391304,0.231304347826087,0.19913043478260867,0.16695652173913042,0.23130434782608697,fused
pair_seed_task,single_task,qwen3_1p7b,43,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.3,0.26,0.342,0.23,0.192,0.268,0.096,0.07,0.122,0.374,0.332,0.416,0.396,0.354,0.44,0.53,0.486,0.5740000000000001,0.626,0.584,0.668,0.53,0.486,0.5740000000000001,0.09599999999999997,0.07000000000000006,0.122,0.22999999999999998,0.192,0.26799999999999996,0.09599999999999997,0.07000000000000006,0.122,0.134,0.08399999999999996,0.182,0.134,0.08399999999999999,0.182,fused
pair_seed_task,single_task,qwen3_1p7b,43,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.2691006233303651,0.2577025823686554,0.2808548530721282,0.2001780943900267,0.18967052537845058,0.21086375779162955,0.08121104185218166,0.07426536064113981,0.08833481745325023,0.44951024042742654,0.4363312555654497,0.4625111308993767,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.4692787177203918,0.456099732858415,0.48227960819234195,0.5504897595725735,0.5374888691006233,0.5636687444345503,0.4692787177203918,0.456099732858415,0.48227960819234195,0.0812110418521817,0.07426536064113981,0.08833481745325028,0.20017809439002676,0.18967052537845053,0.21086375779162958,0.0812110418521817,0.07426536064113981,0.08833481745325028,0.11896705253784506,0.10543187889581479,0.13232413178984864,0.11896705253784505,0.10543187889581478,0.13232413178984864,fused
pair_seed,task_macro,qwen3_1p7b,43,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.2989755700956289,0.2824462490482274,0.3160656271374553,0.23440719088363204,0.21877138874908048,0.25002334262521453,0.08370802844348084,0.07358246028366047,0.09432937266896381,0.38290921057725813,0.36559643553112137,0.4001709067327422,0.38268359853910977,0.3650818156594009,0.400748847548621,0.533382760979261,0.5155632964239163,0.5513172667673286,0.6170907894227418,0.5998290932672576,0.6344035644688787,0.533382760979261,0.5155632964239163,0.5513172667673286,0.0837080284434808,0.07358246028366047,0.09432937266896378,0.234407190883632,0.21877138874908036,0.2500233426252146,0.0837080284434808,0.07358246028366047,0.09432937266896378,0.1506991624401512,0.12999481461406429,0.170696538774246,0.1506991624401512,0.12999481461406429,0.17069653877424598,fused
pair_seed,sample_weighted,qwen3_1p7b,43,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.28052305574673086,0.2703372333103923,0.29098417068134896,0.21376462491397108,0.20426703372333102,0.22353750860289054,0.08107364074328974,0.07501720578114246,0.08740536820371644,0.42463867859600823,0.41307639366827253,0.4360633172746043,0.3615966964900206,0.3505849965588438,0.37274604267033723,0.49428768066070194,0.482863041982106,0.5058499655884376,0.5753613214039917,0.5639366827253957,0.5869236063317274,0.49428768066070194,0.482863041982106,0.5058499655884376,0.08107364074328971,0.07501720578114246,0.08740536820371647,0.21376462491397108,0.204267033723331,0.2235375086028905,0.08107364074328971,0.07501720578114246,0.08740536820371647,0.13269098417068137,0.12044046799724711,0.14480385409497593,0.13269098417068134,0.1204404679972471,0.1448038540949759,fused
pair_seed_task,single_task,qwen3_1p7b,44,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.3408695652173913,0.3130434782608696,0.36869565217391304,0.2582608695652174,0.23217391304347826,0.2843478260869565,0.06086956521739131,0.04695652173913043,0.07478260869565218,0.34,0.31217391304347825,0.36695652173913046,0.4017391304347826,0.3739130434782609,0.4304347826086956,0.5991304347826087,0.571304347826087,0.6278260869565218,0.66,0.6330434782608695,0.6878260869565217,0.5991304347826087,0.571304347826087,0.6278260869565218,0.060869565217391286,0.04695652173913045,0.07478260869565223,0.25826086956521743,0.23217391304347834,0.2843478260869566,0.060869565217391286,0.04695652173913045,0.07478260869565223,0.19739130434782615,0.1669565217391304,0.22869565217391308,0.19739130434782606,0.16695652173913042,0.22869565217391308,fused
pair_seed_task,single_task,qwen3_1p7b,44,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.33,0.29,0.372,0.22,0.184,0.256,0.066,0.044,0.09,0.384,0.342,0.426,0.396,0.354,0.44,0.55,0.506,0.594,0.6160000000000001,0.5740000000000001,0.658,0.55,0.506,0.594,0.06600000000000006,0.04400000000000004,0.08999999999999997,0.22000000000000008,0.18400000000000005,0.2560000000000001,0.06600000000000006,0.04400000000000004,0.08999999999999997,0.15400000000000003,0.10800000000000004,0.2,0.154,0.108,0.19999999999999998,fused
pair_seed_task,single_task,qwen3_1p7b,44,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.2717720391807658,0.2601959038290294,0.2833481745325022,0.21353517364203028,0.20284951024042744,0.22439893143365983,0.07853962600178094,0.07159394479073909,0.0854853072128228,0.43615316117542297,0.42297417631344614,0.4489759572573464,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.4853072128227961,0.47248441674087266,0.49831255565449684,0.563846838824577,0.5510240427426536,0.5770258236865539,0.4853072128227961,0.47248441674087266,0.49831255565449684,0.07853962600178088,0.0715939447907391,0.08548530721282277,0.21353517364203023,0.2028495102404274,0.22439893143365985,0.07853962600178088,0.0715939447907391,0.08548530721282277,0.13499554764024935,0.12110418521816563,0.14853072128227962,0.13499554764024935,0.12110418521816563,0.14853072128227962,fused
